song,Days_on_chart,Average_rank,Best_rank,Rank_volatility
How Do You Like Me Now?!,1,19.0,19,
How You Get The Girl (Taylor's Version),6,33.333333333333336,16,13.779211394948067
Huntin’ Wabbitz,4,27.0,9,14.30617582258329
I Ain't Worried,3,45.666666666666664,43,2.309401076758502
I Can Do It With a Broken Heart,96,22.28125,3,13.13308648133849
I Can Fix Him (No Really I Can),15,28.466666666666665,16,12.07042824821216
I Can See You (Taylor’s Version) (From The Vault),36,25.916666666666668,1,17.96723207874347
I Gotta,3,16.333333333333332,9,8.082903768654761
I Had Some Help (Feat. Morgan Wallen),198,8.722222222222221,1,7.2370038329605295
I Hate It Here,9,35.333333333333336,29,7.729812416870153
I Hope You Find Your Way Home,4,24.25,14,12.553220038433698
I KNOW ?,221,22.981900452488688,3,11.11099529168577
I Killed You,10,27.9,7,13.453211099543815
I Know Places (Taylor's Version),6,30.833333333333332,18,11.391517311871437
I LUV IT (feat. Playboi Carti),5,41.2,31,6.942621983083914
I Look in People's Windows,8,37.25,31,6.4309519401985
I Love This Bar,1,44.0,44,
"I Love You, I'm Sorry",104,25.423076923076923,9,11.036296962061233
I Remember Everything (feat. Kacey Musgraves),446,13.90134529147982,1,9.89082643788304
I Saw Mommy Kissing Santa Claus,3,43.666666666666664,41,4.618802153517006
I Want a Hippopotamus for Christmas (Hippo the Hero),3,44.333333333333336,44,0.5773502691896263
I Wish You Would (Taylor's Version),8,31.625,13,13.814459298658262
I might say something stupid featuring the 1975 & jon hopkins,1,47.0,47,
"I swear, I Really Wanted To Make A ""Rap"" Album But This Is Literally The Way The Wind Blew Me This Time",1,31.0,31,
I'm Shipping Up To Boston,1,48.0,48,
IDGAF (feat. Yeat),150,20.126666666666665,1,13.474458396639692
II HANDS II HEAVEN,2,39.0,36,4.242640687119285
II MOST WANTED,14,20.642857142857142,4,13.95380920067317
Ice Attack,6,21.833333333333332,8,9.17423929634859
Igual Que Un Ángel (with Peso Pluma),35,18.02857142857143,6,12.989782668755957
In Your Love,7,43.142857142857146,37,4.017817460121495
Innocent (Taylor's Version),4,32.0,21,10.984838035522722
Is It Over Now? (Taylor's Version) (From The Vault),89,24.39325842696629,1,17.8749558025697
It's Beginning to Look a Lot Like Christmas (with Mitchell Ayres & His Orchestra),34,26.88235294117647,15,9.101330924591766
It's Beginning to Look a Lot like Christmas,37,15.378378378378379,9,8.3810346462559
It's Five O'Clock Somewhere,2,24.0,12,16.97056274847714
It's Getting Hot,2,48.0,48,0.0
It's Up (feat. Young Thug & 21 Savage),5,34.0,20,13.2664991614216
It's ok I'm ok,26,33.11538461538461,9,12.277872529316872
It's the Most Wonderful Time of the Year,42,12.476190476190476,4,12.863709769580648
I’m Just Ken (From Barbie The Album),8,43.125,29,9.203066259211033
JOLENE,9,21.444444444444443,3,16.241236953439778
JUST FOR FUN,3,32.666666666666664,24,10.26320287889377
Jake's Piano - Long Island,8,30.5,17,9.227288721117223
Jennifer’s Body,2,47.0,47,0.0
Jimmy Cooks (feat. 21 Savage),86,44.24418604651163,34,3.9285861743998143
Jingle Bell Rock,54,13.74074074074074,2,14.758668939810006
Jingle Bells - Remastered 1999,34,29.764705882352942,17,9.403606089507953
Joy To The World,4,39.25,36,4.716990566028303
Judge Judy,12,25.166666666666668,8,12.705284035559472
Juno,87,32.11494252873563,11,10.618572241603244
Just Wanna Rock,32,40.0625,16,8.41633396553124
K-POP,33,18.90909090909091,2,13.172802559543936
KEHLANI,7,44.857142857142854,43,1.8644544714716094
KEYS TO MY LIFE,5,27.8,10,13.700364958642524
KING,2,41.5,36,7.7781745930520225
Karma,95,37.136842105263156,24,5.758639256962126
Karma (feat. Ice Spice),6,22.833333333333332,1,15.561705133649934
Kill Bill,247,22.91497975708502,4,12.162386134444523
Knee Deep (feat. Jimmy Buffett),2,46.0,45,1.4142135623730951
LA DURANGO,1,42.0,42,
LA PATRULLA,44,41.13636363636363,33,3.7141521245404467
LA PEOPLE II,4,45.25,42,3.304037933599835
LADY GAGA,150,29.066666666666666,7,10.963433221803681
LALA,49,38.02040816326531,29,5.5508625302678825
LEVII'S JEANS,9,24.22222222222222,10,11.766241729815194
LIL DEMON,3,34.0,13,19.0
LOOOVE,3,23.666666666666668,19,4.509249752822893
LOOOVE (feat. Kid Cudi),5,35.8,28,7.918333157931662
LOS PITS,2,19.0,19,0.0
LOST FOREVER,3,22.0,16,5.5677643628300215
LOST FOREVER (feat. Westside Gunn),4,34.25,27,7.182153808805082
LUNA,14,25.285714285714285,8,15.622609707277913
LUNCH,89,19.04494382022472,4,11.155828187706465
La Bebe - Remix,113,23.831858407079647,6,13.638117967449103
La Diabla,104,18.317307692307693,5,13.094328738361877
La Víctima,74,24.864864864864863,14,7.375123540779656
Lace It (with Eminem & benny blanco),5,38.4,32,4.669047011971501
Last Christmas - Single Version,63,19.666666666666668,4,16.65203658957802
Last Kiss (Taylor's Version),5,28.4,18,11.991663771137015
Last Night,492,22.61178861788618,1,14.554543220677138
Last Time I Saw You,3,42.666666666666664,34,7.76745346515403
Lavender Haze,6,41.0,23,10.119288512538814
Let It Snow! Let It Snow! Let It Snow!,42,15.523809523809524,6,13.268775184230954
Let It Snow! Let It Snow! Let It Snow! (with The B. Swanson Quartet),23,35.391304347826086,23,7.83778221434646
Let Me Calm Down (feat. J. Cole),1,42.0,42,
Lie To Girls,9,27.77777777777778,19,6.437735971942655
Lies Lies Lies,106,27.88679245283019,8,12.868803736698174
Light Year (Practice),2,29.0,8,29.698484809834994
Like Crazy,2,48.0,48,0.0
Like Him (feat. Lola Young),29,13.758620689655173,5,5.200653615609931
Like That,169,19.37869822485207,1,14.701749837869453
Lil Boo Thang,1,36.0,36,
Lithonia,7,42.0,28,7.302967433402214
Little Saint Nick - 1991 Remix,22,31.5,18,10.675963210698622
Lonely Road (with Jelly Roll),2,49.0,49,0.0
Long Live (Taylor's Version),5,25.0,20,6.819090848492928
Lose Control,329,23.49544072948328,5,8.652900817894057
Losers (Feat. Jelly Roll),6,32.0,20,10.039920318408907
Love Somebody,39,21.05128205128205,1,12.571791142220617
Love in This Club (feat. Young Jeezy),1,42.0,42,
Lover,2,40.0,30,14.142135623730951
Lovers Rock,67,43.08955223880597,35,4.444033600790732
Lovin On Me,157,10.751592356687897,1,12.482118518286734
Lucifer,4,34.5,17,11.676186592091328
Lucky Enough (Poem),1,31.0,31,
Lyft Em Up,1,49.0,49,
L’AMOUR DE MA VIE,26,30.26923076923077,12,12.27210721044334
M-E-X-I-C-O (Feat. Billy Strings),1,49.0,49,
MATHEMATICAL DISRESPECT,14,27.928571428571427,10,15.112217602956916
MELTDOWN,3,1.0,1,0.0
MELTDOWN (feat. Drake),86,22.0,1,14.110488381092312
MERCEDES CAROTA,2,17.0,17,0.0
MI EX TENÍA RAZÓN,15,33.13333333333333,13,10.070229580775395
MILLION DOLLAR BABY,206,14.946601941747574,1,12.322577458719524
MILLION DOLLAR BABY (VHS),14,39.857142857142854,30,5.627639795716288
MODERN JAM,3,9.666666666666666,5,5.033222956847167
MODERN JAM (feat. Teezo Touchdown),6,20.666666666666668,15,7.633260552782582
MOJABI GHOST,8,29.75,23,8.924284685220275
MONACO,66,22.333333333333332,1,15.9675953907939
MR. OCTOBER,7,25.428571428571427,6,16.102351203650798
MY EYES,27,26.14814814814815,6,12.58418942013443
MY HOUSE,2,43.5,40,4.949747468305833
MY ROSE,3,30.0,20,11.135528725660043
Ma Meilleure Ennemie (from the series Arcane League of Legends),1,36.0,36,
Magic Don Juan (Princess Diana),4,30.25,15,11.206396982676159
Magnetic,12,43.666666666666664,35,4.7161874689651855
"Mama, I’m Sorry",2,29.5,18,16.263455967290593
Mamaw's House,2,13.0,13,0.0
Mamushi (feat. Yuki Chiba),36,38.72222222222222,25,7.595529177882439
Margaritaville,3,13.666666666666666,6,12.423096769056148
Mean (Taylor's Version),6,23.666666666666668,10,13.246383154154445
Mechanical Bull,2,29.0,15,19.79898987322333
Mele Kalikimaka (Merry Christmas),18,37.55555555555556,23,8.603844709828838
Members Only (feat. PARTYNEXTDOOR),7,27.714285714285715,18,8.42049653552342
Memphis; The Blues (feat. John Moreland),1,46.0,46,
Meteor Man,1,20.0,20,
Mine (Taylor's Version),8,14.125,1,14.826978306933807
Missin’ You Like This (Feat. Luke Combs),3,40.333333333333336,33,6.350852961085883
Mistletoe,29,40.0,29,7.111359122659224
Mistletoe And Holly - Remastered 1999,2,50.0,50,0.0
Mmhmm,58,42.206896551724135,31,5.336924078595239
Money On The Dresser,1,23.0,23,
Money Trees,41,45.073170731707314,35,4.479900913538373
Monster Mash,8,26.25,2,18.506755523321747
Moonlight,105,42.266666666666666,30,5.319171903932952
Mourning,11,29.181818181818183,9,11.347406591976705
Mr Chow,1,39.0,39,
Mr. Brightside,3,33.0,21,10.392304845413264
Murder On The Dancefloor,31,35.193548387096776,20,6.794210058761847
My Boo,3,33.0,20,11.532562594670797
My Boy Only Breaks His Favorite Toys,29,18.93103448275862,7,10.053183697866771
My Love Mine All Mine,224,16.566964285714285,2,14.09433234303875
NADIE SABE,5,21.6,3,17.372391890583174
NEL,10,42.3,31,5.945119380167602
NEW DROP,4,48.0,46,1.4142135623730951
